Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Nov-3

5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch Strength]
A. Heel-Elevated Sotts Press (3 x 3-5) 45lb
B. Low Hang Snatch (4 x 3) 135lb
*odd sets: powers
*even sets: squats
C. Snatch High Pull (8 x 1) 225lb
D. Squat Snatch (3 x 1.1.1.1) 165lb
*reset and hit each rep with your best technique
*rest to recovery b/t sets
E1. Glute Ham Raise (4 x 4) 3s lower
E2. Copenhagen Plank with Bottom Leg Sweeps (4 x 8)
*alternate working leg each set","Nov-4

10:00 Easy Run
+
EMOM 12:00
1) 6.5.4 TTB
2) 3 TnG SB Clean + 2 Singles 150lb 
3) 2 x 40ft Prowler Push; moderate
+
10:00 Easy Run
+
EMOM 12:00
1) 10-12 Thrusters 95lb
2) 6.5.4 CTB
3) 10-12 Echo Cals @ 80 RPMs +/- 3
+
10:00 Easy Run
+
5:00 Box Breathing @ 4444","Nov-5

3-5min Easy Cyclical
3-5min Active Mobility
+
A. EMOM 8:00
1) 4 Rebounding Box Jumps; build height
2) 4s Front Squat Isometric in Quarter Squat
B. Every 2:30 x 4 Sets:
-2 Split Jerk; from the rack; 68-73%
-2 x 25ft HSW; for ease / quality
C. Back Squat (4 x 4) 75-80% 
*stand up each rep AFAP
D. Snatch Grip Strict Press (4 x AMRAP-2) 75lb
E. Every 6:00 x 4 Sets:
-40 Calorie Row @ 1250-1350
-25 Wall Balls
-""Max"" Row Calories, Remainder
*target RPE = 7/10 (across all)
+
8min Easy BikeErg
3min Foam Roll Low Back & Lats
2min Frog Stretch","Nov-6

[Land Warm-Up]
A. Joint Rotations Warm-Up
B. Forward Shoulder CARs (3 x 3 / arm) 6-8s per rotation
*work to ""own"" the range & use a big ROM
B1. Hollow Rock (3 x 12)
B2. Arch Hold (3 x 10 Breaths)
B3. Curled Seiza Sit (3 x 15s)
C. Ankle Circles (3 x 8 / way)
*sitting on edge of pool, feet in water
+
[Pool]
4 x 50m; Form-Focused, Relaxed Pace
*intervals 1&3: Focus on Kick Quality
*intervals 2&4: Focus on Upper Body Action
+
Freestyle @ Cruise Pace
*rest 1:1 b/t all*
2 x 50m
2 x 100m
2 x 150m
2 x 100m 
2 x 50m
+
10:00 Kick Board - Continuous
*keep body line long & relaxed
+
30 Breaths @ Edge of Pool
*inhale - nasal
*exhale - mouth; submerge face","Nov-7

AM [Threshold Run]
5-10:00 Easy Run
+
[30:00 Clock]
-200m Run @ 10k Pace -20s/mi
-600m Run @ 10k Pace +20s/mi
-200m Run @ 10k Pace 
-600m Run @ 10k Pace +20s/mi
-400m Recovery Jog
+
5min Walk
5min Self-Directed Mobility
5min Box Breathing @ 4444

PM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch & Pressing Strength]
A. Chaos OHS (4 x 4) @ 2222
*RPE 6-7
B. Hang Power Snatch: Build to RPE 8.5 for a triple
C. 2 Sets: (rest 3:00 b/t)
5-4-3-2-1 Overhead Squat
*no rack, snatch rep 1
*set 1 = 135,155,165,175,185
*set 2 = +5-10lb each loading
(film set 2)
+
[Grinder Sport Conditioning]
4-5 Rounds @ Cruise Pace
-7.7.7 Heavy Wall Balls
-4.4.4.4 DB Hang Snatch** 70lb
-3.3.3 Ring Muscle-Ups
*looking for high-quality reps / minimal compensations
**alternate working arm, set DB down for a few seconds b/t clusters
...into...
10:00 BikeErg @ Recovery Pace
10:00 Self-Directed Mobility","Nov-8

5:00 Choice Cyclical; easy, nasal
+
20-30s Each...
-Alternating Scorpions
-Seal Push-Ups
-Alternating Lizards
-Hip 90-90's
-Hollow Rock
-Boot Strappers
-Air Squat + Toe Touch
-Inchworm Planks
-Lateral Line Hops
-Up-Downs
-Alt Single Leg V-Ups
+
3 Rounds
-8 BB Front Rack Rotations; empty bar
-15s Overhead Triceps Stretch / side
-3 Pause Front Squat; full hand; empty bar
+
Every 2:30 x 6 Sets:
-3 TnG Power Clean: to Heavy Set
-3 HSPU; a tough variation / deficit for you
*regular or parallette, kipping or deficit
+
2-4 Sets: (rest ~60s b/t)
-20 DU
-10 GHD
-1 Clean
+
""Awful Annie v2""
For Time (15:00 Cap)
80-60-40-20
-Double Unders
40-30-20-10
-GHD Sit-Ups
4-3-2-1
-Cleans 255/175lb
*scale to 80%
+
3 Rounds @ 70-80% Effort
-2:00 Row
-1:00 Burpee Box Step-Ups
-2:00 AirBike
-1:00 Burpee Pull-Ups
*keep it methodical / highly-repeatable
+
5min Erg-Based Flush","Nov-9

(Rest)",Averages
0,,,,,,,0
0,,,,,,,0
,,195-200-205-210 / 285-290-295-300 / 10-10-10-10 / 41-38-38-43,,8:06-8:18-8:22 (5850M total) / 195 / 3 Rds (4:09-4:59-5:10),,,
,,,,,,,
"Oct-27

AM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch Strength]
A. Heel-Elevated Sotts Press (3 x 3-5) 45lb
B. Low Hang Snatch (4 x 3) 135lb
*odd sets: powers
*even sets: squats
C. Snatch High Pull (5 x 1) 225lb
D. Squat Snatch (3 x 1.1) 195lb
*+/- 5lb, rest 5-15s b/t clusters
*rest to recovery b/t sets
E1. Glute Ham Raise (4 x 4) 3s lower
E2. Copenhagen Plank with Bottom Leg Sweeps (4 x 8)
*alternate working leg each set

PM 
5min AirBike @ Easy Pace
10min Run @ Easy Pace
+
[Flux Run]
6 x 4:00 (No Rest b/t)
*Odd Sets: AMRAP
-5 CTB
-5 Burpee to Bar Touch
-5 Hang Power Clean & Jerk 115lb
*Even Sets: Run @ Max Recovery Pace
+
10:00 Run @ Easy Pace
5min AirBike @ Easy Pace
5min Box Breathing @ 4444","Oct-28

AM (Single Session)
Foam Roller Routine
10:00 AirBike @ Zone 2 HR
10:00 Prep Mvmts
+
E10M x 3 Sets:
EMOM 7:00
1) 15s Echo for Max Cals
2) 3 Rope Climbs
3) 25s Row for Max Cals
4) 5 Sandbag Cleans
5) 15s Echo for Max Cals
6) 5 Power Clean 185lb
7) 25s Row for Max Cals
+
10:00 AirBike @ Recovery Pace
5:00 Box Breathing @ 4444","Oct-29

AM
[Clean & Jerk Strength]
A1. Banded Hamstring Curls (3 x 15)
*after 15th rep, hold in shortened end range for 15s
A2. Hip Extension from Saddle Pose (3 x 15s stretch into 5 pulses)
*sitting in saddle, pushing the hip up as far as you can (probably a few inches) and then returning to saddle
B1. 90-90 Hip Rotations with Internal Rotation Lift-Off (4 x 8)
*on each rep / rotations, lift trail foot off the floor 3 times (hip internal rotation)
B2. Frog Glute Bridge (4 x 8) 2s pause at top of each
C1. Box Jump (3 x 3) 20-24-30"" 
C2. TnG Squat Clean (3 x 3) 115-135-155
D. Box Clear Over (3 x 3) 24""
E. TnG Squat Clean: Build to RPE 8.5 for a Double
F. Front Squat (3 x 8) RPE 7-8-8.5
G. Couch Stretch (2:00 / side)
H. Frog Stretch (2:00 / side)

PM
A. HS Prep Routine
B. 5min HS Hold Practice
C. 5min HSW Refinement*
*practicing looking behind (vs. forward)
*aim is to keep the neck relaxed and only ""spot"" when you are nearing the line based on last week's step count
+
[Fatigued Pressing]
4 Sets: (rest 4:00 b/t)
-30 Cal Ski @ Ramping Pace
-10 HSPU; 3"" Deficit
-10 RMU
-10 Burpee to Ring Touch
*walk during first 3min of rest
+
[Neuromuscular Run]
10 x 200m @ Mile Pace / Effort
-walk 30-45s b/t
+
10min Easy Cyclical
5min Box Breathing @ 4444","Oct-30

(Swim Session)

[Land Warm-Up]
A. Joint Rotations Warm-Up
B. Forward Shoulder CARs (3 x 3 / arm) 6-8s per rotation
*work to ""own"" the range & use a big ROM
C1. Seiza Sit Raise (3 x 8-10) each w/ 1s pause
C2. Arch Hold (3 x 10 Breaths)
C3. Hollow Rock (3 x 12)
+
[Pool]
4 x 50m; Form-Focused, Relaxed Pace
*intervals 1&3: Focus on Kick Quality
*intervals 2&4: Focus on Upper Body Action
+
5 x 150m @ Cruise Pace
*rest 1:00 b/t
+
7:00 Kick Board - Continuous
*keep body line long & relaxed
+
30 Breaths @ Edge of Pool
*inhale - nasal
*exhale - mouth; submerge face","Oct-31

AM [Threshold Run]
5-10:00 Easy Run
+
[30:00 Clock]
-400m Run @ 10k Pace -20s/mi 
-Rest / Walk 30s-
-400m Run @ 10k Pace
-Rest / Walk 30s-
-800m Run @ 10k Pace +20s/mi 
-Jog, Until Recovered*
*meaning you can do the next interval & hit your target paces
+
5min Walk
5min Self-Directed Mobility
5min Box Breathing @ 4444

PM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch & Pressing Strength]
A. Chaos OHS (4 x 4) @ 2222
*RPE 6-7
B. Power Snatch + Low Hang Squat Snatch (6 Sets)
*RPE 5 --> 6
C. E3M x 4 Sets:
-1.1.1 Snatch; pow-sq-sq
-4.3.2 sHSPU
D. Snatch Grip RDL (2 x 10-12) 135-165lb
*use straps - 2s lower
+
[Grinder Sport Conditioning]
E. Move Through @ Cruise Pace
*not a metcon, just simple conditioning*
*target RPE is 8/10 at finish*
5 Rounds
-20 TTB
-20 Single Arm DB Thruster 50lb
-20 Burpee over DB
...into...
10:00 BikeErg @ Recovery Pace
10:00 Self-Directed Mobility","Nov-1

2-3 Rounds
-2:00 Echo @ Smooth Pace
-0:30 Echo @ Wko Pace
+
2-3 Rounds
-8 Box Step-Overs
-8 Kip Swings
-8 Scap HSPUs
-8 BB Boot Strappers
+
A. BB Cycling Strength
[0:00-10:00]
Power Clean + Push Jerk
*2 box jumps from a squat to tough height after each set
*you MUST go immediately into the jerk (no redip)
*find heavy complex
...
[At 12:00]
Squat Clean Thruster Ladder
*for quality - rest 90s b/t each loading*
-10 Reps @ 50% of 1RM
-8 Reps @ 60% of 1RM
-6 Reps @ 70% of 1RM
-4 Reps @ 80% of 1RM
-2 Reps @ 90% of 1RM
+
3 Sets:
-4-6 Echo Cals @ Wko Pace
-3-4 BBJO 
-2-5 PU
-2-5 HSPU
-2-4 PC @ Wko Wt
+
""American Sweetheart""
For Time
-60/50 Calorie Echo
-40 Burpee Box Jump Over 24/20""
-30 Pull-Up
-20 Handstand Push-Ups
-10 Power Clean 195/135lb
+
[Partner Extra Credit]
4 Rounds Each (You Go, I Go)
-20/15 Cal Echo
-AMRAP-2 Unbroken TTB
-20/15 Cal Echo
*no friends? (rest 1:1)
+
10:00 Self-Directed Mobility","Nov-2

(Rest)",Averages
0,,,,,,,0
0,,,,,,,0
200 LBs / 3+13 - 3+7 - 3+3 (10+8 total),Bike 1 9-11-11 Row 1 9-11-10 Bike 2 7-10-9 Row 2 1-11-12,,,"1:54 @ 12.6 / walk :30
2:00 @ 12.0 / walk :30
4:08 @ 11.7 / jog to recovery",,,
,,,,,,,
